Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
MSC MINA,Container Ship,,, ,13.5 m,-,16 hours ago,9839260 / 351862000,3ENB2,Panama,400 / 61 m
PETROBRAS P78,Offshore Support Vessel,-,-, ,-,-,0 min ago,9959096 / 636021221,5LCW5,Liberia,-
HMM HAMBURG,Container Ship,-,-, ,11.9 m,Moored,2 min ago,9863338 / 440223000,D7JM,Korea,400 / 61 m
HMM ALGECIRAS,Container Ship,-,-, ,13.9 m,-,10 days ago,9863297 / 440326000,D7JI,Korea,400 / 61 m
HMM DUBLIN,Container Ship,,, ,14.4 m,-,6 days ago,9863314 / 440348000,D7IS,Korea,400 / 61 m
HMM HELSINKI,Container Ship,,, ,14.6 m,Under way,1 min ago,9863340 / 440288000,D7EL,Korea,400 / 61 m
HMM COPENHAGEN,Container Ship,,, ,16.3 m,-,2 days ago,9863302 / 440487000,D7JR,Korea,400 / 61 m
HMM GDANSK,Container Ship,,, ,12.1 m,-,6 days ago,9863326 / 440350000,D7JL,Korea,400 / 61 m
HMM LE HAVRE,Container Ship,,, ,16.3 m,-,9 days ago,9868314 / 440488000,D7JQ,Korea,400 / 61 m
SYMPHONY OF THE SEAS,Passenger (Cruise) Ship,-,-, ,9.2 m,-,22 hours ago,9744001 / 311000660,C6DF6,Bahamas,362 / 66 m
HARMONY OF THE SEAS,Passenger (Cruise) Ship,-,-, ,9.3 m,-,3 days ago,9682875 / 311000396,C6BX8,Bahamas,362 / 66 m
OASIS OF THE SEAS,Passenger (Cruise) Ship,,, ,9.3 m,-,46 hours ago,9383936 / 311020600,C6XS7,Bahamas,360 / 60 m
ALLURE OF THE SEAS,Passenger (Cruise) Ship,-,-, ,9.3 m,-,46 hours ago,9383948 / 311020700,C6XS8,Bahamas,362 / 48 m
EGINA FPSO,Offshore Support Vessel,-,-, ,13.0 m,-,5 days ago,9695896 / 657161000,5NMX3,Nigeria,330 / 61 m
EVER GLORY,Container Ship,-,-, ,13.5 m,Moored,1 min ago,9786839 / 636019234,D5TO4,Liberia,400 / 59 m
EVER GLOBE,Container Ship,,, ,12.5 m,Under way,2 hours ago,9786841 / 354977000,3FWU2,Panama,399 / 59 m
EVER GREET,Container Ship,,, ,13.4 m,-,6 days ago,9832729 / 371829000,3FLF4,Panama,399 / 59 m
EVER GOVERN,Container Ship,-,-, ,12.5 m,Under way,0 min ago,9832717 / 356582000,HPUI,Panama,400 / 59 m
EVER GENIUS,Container Ship,-,-, ,11.4 m,Moored,3 min ago,9786815 / 370121000,3FJU4,Panama,400 / 59 m
EVER GIFTED,Container Ship,,, ,12.4 m,-,41 hours ago,9786827 / 563068900,9V5825,Singapore,399 / 59 m
CMACGM LOUIS BLERIOT,Container Ship,-,-, ,14.7 m,Moored,1 min ago,9776432 / 248794000,9HA4811,Malta,399 / 58 m
CMA CGM JEAN MERMOZ,Container Ship,-,-, ,14.0 m,Under way,6 hours ago,9776420 / 248758000,9HA4798,Malta,400 / 59 m
CMA CGM ST EXUPERY,Container Ship,,, ,11.7 m,Under way,1 min ago,9776418 / 229270000,9HA5316,Malta,399 / 58 m
EVER GRADE,Container Ship,,, ,14.9 m,Under way,6 hours ago,9820855 / 357463000,3FZS6,Panama,399 / 59 m
